version,publishedtime,url,length of content,md5
version1.0,29/02/2020 9:00,https://www.cbc.ca/radio/costofliving/bourse-anarchy-what-fear-of-the-coronavirus-is-doing-to-markets-1.5478665/why-the-tsx-lost-1-500-points-in-just-one-week-and-what-coronavirus-has-to-do-with-it-1.5480348,8540,3674F74CE3596C5FD2911790ECF181AE
version1.0,30/03/2020 13:04,https://www.cbc.ca/news/canada/coronavirus-covid19-march30-canada-world-1.5514485,21619,848EF0EBF5A660AF05B385B66F6432CB
version1.0,29/02/2020 9:00,https://www.cbc.ca/1.5480348,8540,3674F74CE3596C5FD2911790ECF181AE
version1.0,30/03/2020 9:47,https://newsinteractives.cbc.ca/coronavirustracker/,8606,18135F613E073226C2BBAD837C313DE1
version1.0,03/03/2020 14:05,https://www.cbc.ca/news/business/markets-virus-concerns-1.5482163,11059,E769EC92B74285798D7C0D8996D6F167
version1.0,01/03/2020 15:09,https://www.cbc.ca/news/business/coronavirus-rate-cuts-1.5478258,9920,FFCA28D44C17905CDA16CC9105AA957F
version1.0,19/03/2020 19:40,https://www.cbc.ca/news/italian-soldiers-haul-coffins-of-coronavirus-dead-out-of-overwhelmed-town-1.5502668,8165,A9A84D30859197AB3FEB8A5EB7B050E2
version1.0,20/03/2020 12:00,https://www.cbc.ca/news/canada/coronavirus-covid-19-canada-world-march19-1.5502505,32164,2E55234CFA20B93773420174FF65642F
version1.0,13/03/2020 8:00,https://www.cbc.ca/news/business/coronavirus-stocke-market-economy-recovery-investment-porfolio-1.5495841,10194,2DCA4C3B71C042413DAB93F744DFAAF2
version1.0,28/03/2020 12:22,https://www.cbc.ca/news/world/italy-sits-tight-under-lockdown-as-deaths-and-infections-jump-and-coronavirus-spreads-south-1.5512373,10464,DB072C53D21ED598EEACCED161D6B3F5
version1.0,09/03/2020 20:36,https://www.cbc.ca/news/business/markets-stocks-oil-1.5490697,8095,CCE7A2351924390B57F7CC02527DE28A
version1.0,28/02/2020 20:30,https://www.cbc.ca/radio/costofliving/bourse-anarchy-what-fear-of-the-coronavirus-is-doing-to-markets-1.5478665,5479,0B2647CD1CC41D70B0531D933B79D199
version1.0,03/03/2020 22:05,https://www.cbc.ca/news/business/us-federal-reserve-cuts-interest-rate-1.5483543,10432,18AA17ECB93FF544A8EE92B9C2D9418A
version1.0,24/02/2020 13:38,https://www.cbc.ca/news/business/pandemic-bonds-1.5469646,11792,434F7E44E3E512828EFADC250077E000
version1.0,19/03/2020 14:15,https://www.cbc.ca/news/business/stock-market-shutdown-1.5501352,11046,1791603229B88F5A00D1FA090E8C186A
version1.0,07/02/2020 9:00,https://www.cbc.ca/news/opinion/opinion-coronavirus-sars-borders-goel-1.5452428,10271,D2EC63E6AD6560516F224FE46370E829
version1.0,19/03/2020 19:40,https://www.cbc.ca/news/italy-coronavirus-march19-death-toll-1.5502668,8165,A9A84D30859197AB3FEB8A5EB7B050E2
version1.0,30/03/2020 9:47,https://subscriptions.cbc.ca/listmanagement/forms/coronavirusbrief,71,F5030D9F57C421FE52A223428CE9196F
version1.0,30/03/2020 13:26,https://www.cbc.ca/news,7657,8BDB973EFE3B787816C224442E5FA6D2
version1.0,23/03/2020 19:18,https://www.cbc.ca/news/canada/sudbury/coronavirus-disease-outbreaks-history-1.5444129,8281,3326565406CBE685F7058F6FE7E13016
version1.0,06/02/2020 1:35,https://www.cbc.ca/news/world/who-seeking-aid-respond-growing-coronavirus-outbreak-1.5452362,13390,B2DA1D0F2DF48B112334B2726870D725
version1.0,24/01/2020 3:57,https://www.cbc.ca/news/china-coronavirus-wuhan-public-health-1.5437217,13822,A0FA714F5AAF93C2B74B1046731C1335
version1.0,04/02/2020 19:28,https://www.cbc.ca/news/canada/british-columbia/coronavirus-wuhan-bc-langley-pregnant-mom-trapped-family-china-uk-quarantine-1.5451137,9137,E3FF9FA3E2D236050CE053DF4D5BB27A
